2025-01-05-14-41 [background-preinit] [INFO] [org.hibernate.validator.internal.util.Version]  - HV000001: Hibernate Validator 8.0.1.Final
 2025-01-05-14-41 [main] [INFO] [com.cuzz.webac.WebAcApplication]  - Starting WebAcApplication using Java 17.0.1 with PID 14832 (C:\Users\PC\Desktop\WebAC\build\classes\java\main started by PC in C:\Users\PC\Desktop\WebAC)
 2025-01-05-14-41 [main] [INFO] [com.cuzz.webac.WebAcApplication]  - No active profile set, falling back to 1 default profile: "default"
 2025-01-05-14-41 [main] [INFO] [org.springframework.data.repository.config.RepositoryConfigurationDelegate]  - Multiple Spring Data modules found, entering strict repository configuration mode
 2025-01-05-14-41 [main] [INFO] [org.springframework.data.repository.config.RepositoryConfigurationDelegate]  - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
 2025-01-05-14-41 [main] [INFO] [org.springframework.data.repository.config.RepositoryConfigurationDelegate]  - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Identified candidate component class: file [C:\Users\PC\Desktop\WebAC\build\classes\java\main\com\cuzz\webac\mapper\AccountDOMapper.class]
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Identified candidate component class: file [C:\Users\PC\Desktop\WebAC\build\classes\java\main\com\cuzz\webac\mapper\OrderDOMapper.class]
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Identified candidate component class: file [C:\Users\PC\Desktop\WebAC\build\classes\java\main\com\cuzz\webac\mapper\ProductDOMapper.class]
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Creating MapperFactoryBean with name 'accountDOMapper' and 'com.cuzz.webac.mapper.AccountDOMapper' mapperInterface
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Enabling autowire by type for MapperFactoryBean with name 'accountDOMapper'.
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Creating MapperFactoryBean with name 'orderDOMapper' and 'com.cuzz.webac.mapper.OrderDOMapper' mapperInterface
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Enabling autowire by type for MapperFactoryBean with name 'orderDOMapper'.
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Creating MapperFactoryBean with name 'productDOMapper' and 'com.cuzz.webac.mapper.ProductDOMapper' mapperInterface
 2025-01-05-14-41 [main] [DEBUG] [org.mybatis.spring.mapper.ClassPathMapperScanner]  - Enabling autowire by type for MapperFactoryBean with name 'productDOMapper'.
